Region,Value
Alabama,745
Alaska,312
Arizona,891
Arkansas,467
California,2340
Colorado,1023
Connecticut,678
Delaware,298
Florida,1876
Georgia,1120
Hawaii,356
Idaho,421
Illinois,1567
Indiana,734
Iowa,512
Kansas,489
Kentucky,623
Louisiana,567
Maine,278
Maryland,845
Massachusetts,1234
Michigan,987
Minnesota,756
Mississippi,345
Missouri,678
Montana,234
Nebraska,398
Nevada,567
New Hampshire,321
New Jersey,1098
New Mexico,445
New York,2100
North Carolina,890
North Dakota,198
Ohio,1234
Oklahoma,543
Oregon,678
Pennsylvania,1456
Rhode Island,256
South Carolina,567
South Dakota,187
Tennessee,789
Texas,1987
Utah,543
Vermont,167
Virginia,987
Washington,1234
West Virginia,298
Wisconsin,654
Wyoming,145
Amsterdam,876
Bangkok,654
Barcelona,987
Beijing,1890
Berlin,765
Boston,1123
Brussels,543
Buenos Aires,432
Cairo,678
Chicago,1456
Dallas,876
Delhi,1098
Denver,543
Detroit,789
Dubai,1234
Dublin,654
Geneva,321
Hanoi,432
Hong Kong,1678
Houston,987
Istanbul,765
Jakarta,543
Kuala Lumpur,321
Lagos,234
Lima,432
Lisbon,345
London,2100
Los Angeles,1876
Madrid,876
Manila,543
Melbourne,654
Mexico City,789
Miami,987
Milan,765
Montreal,654
Moscow,1456
Mumbai,1234
Munich,543
Nairobi,234
Osaka,876
Oslo,321
Paris,1567
Philadelphia,876
Phoenix,765
Prague,432
Rio de Janeiro,678
Rome,987
San Diego,654
San Francisco,1543
Santiago,543
Sao Paulo,876
Seattle,1234
Seoul,1098
Shanghai,2100
Singapore,987
Stockholm,432
Taipei,654
Vienna,543
Warsaw,432
Zurich,543
